order_id,uuid,frameworkUUID,function,functionID,category,categoryID,category_statement,subcategory,control_statement,default_question,reference,framework_id,subcategoryID
1,61601d948c7f4c6f963ed5505e8262b6,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Asset Management",ID.AM,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","","Physical devices and systems within the organization are inventoried","Describe in detail how your organization maintains accurate inventories of its information systems and components.","",faa6919f201c4bd4bfec3bc337f1e381,ID.AM-1
2,b401eb1145824a57a7473d386e844188,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Asset Management",ID.AM,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","","Software platforms and applications within the organization are inventoried","Describe in detail how your organization maintains accurate inventories of its approved operating systems and applications.","",faa6919f201c4bd4bfec3bc337f1e381,ID.AM-2
3,6746885b58d7446c9f078b93ac2b9c59,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Asset Management",ID.AM,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","","Organizational communication and data flows are mapped","Describe in detail how your organization documents its data flows (e.g., ports, protocols and services) through network diagrams and/or Data Flow Diagrams (DFDs).","",faa6919f201c4bd4bfec3bc337f1e381,ID.AM-3
4,f028fb9ceb6f436c9ffe3dab40575edc,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Asset Management",ID.AM,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","","External information systems are catalogued","Describe in detail how your organization identifies and documents information systems and services hosted or maintained by 3rd parties.","",faa6919f201c4bd4bfec3bc337f1e381,ID.AM-4
5,54bd13bf53c8447aba3312cbdb90c9a9,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Asset Management",ID.AM,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","","Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value ","Describe in detail how your organization assigns assets and resources a classification based on the business value and criticality in accordance with VENDOR's policies and standards.","",faa6919f201c4bd4bfec3bc337f1e381,ID.AM-5
6,095fd00a4f214b97b93068ecd03171c5,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Asset Management",ID.AM,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","","Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established","Describe in detail how your organization establishes and documents cybersecurity-related roles and responsibilities for the entire workforce, including third-party stakeholders (e.g., suppliers, partners, service providers, etc.).","",faa6919f201c4bd4bfec3bc337f1e381,ID.AM-6
7,6f38e97adadc4afdafa752a00d5b2f8f,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Business Environment",ID.BE,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.","","The organization’s role in the supply chain is identified and communicated","Describe in detail how your organization identifies and documents its role within the supply chain (e.g., business partners, customers) to determine interdependencies and other points of concern that may impact the supply chain.","",faa6919f201c4bd4bfec3bc337f1e381,ID.BE-1
8,aff41d0ad16d4424be740b0f7a8ea6e6,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Business Environment",ID.BE,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.","","The organization’s place in critical infrastructure and its industry sector is identified and communicated","Describe in detail how your organization identifies and documents its role within its industry in an effort to identify applicable industry sector-based risk.","",faa6919f201c4bd4bfec3bc337f1e381,ID.BE-2
9,d6cb5f8a5c6f44b4bdbdcc30f2bb43cb,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Business Environment",ID.BE,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.","","Priorities for organizational mission, objectives, and activities are established and communicated","Describe in detail how your organization establishes and communicates its mission and objectives to ensure organizational awareness of its critical business functions and how that impacts VENDOR’s clients.","",faa6919f201c4bd4bfec3bc337f1e381,ID.BE-3
10,3e1117070b434f929290157ba3cb4823,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Business Environment",ID.BE,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.","","Dependencies and critical functions for delivery of critical services are established","Describe in detail how your organization identifies and documents dependencies and critical functions within its business processes that impact the delivery of critical services.","",faa6919f201c4bd4bfec3bc337f1e381,ID.BE-4
11,f81bcfd2f9ba4bc4bcb98afe1847451b,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Business Environment",ID.BE,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.","","Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)","Describe in detail how your organization identifies and documents resilience requirements to support the delivery of critical services.","",faa6919f201c4bd4bfec3bc337f1e381,ID.BE-5
12,ccf059596fec4bf998a82c47af594e47,faa6919f201c4bd4bfec3bc337f1e381,ID,"",Governance,ID.GV,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.","","Organizational cybersecurity policy is established and communicated","Describe in detail how your organization documents formal cybersecurity policies, standards and procedures. This cybersecurity-related documentation is clearly made available to VENDOR’s workforce.","",faa6919f201c4bd4bfec3bc337f1e381,ID.GV-1
13,b31d7be54cc2497b8a46f05f2761d39e,faa6919f201c4bd4bfec3bc337f1e381,ID,"",Governance,ID.GV,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.","","Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners","Describe in detail how your organization coordinates and aligns designated cybersecurity roles with internal and external stakeholders to ensure all applicable cybersecurity and privacy responsibilities are properly addressed.","",faa6919f201c4bd4bfec3bc337f1e381,ID.GV-2
14,1b3b355eb8794a3e9b03c93b244a374c,faa6919f201c4bd4bfec3bc337f1e381,ID,"",Governance,ID.GV,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.","","Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed","Describe in detail how your organization adheres to all applicable cybersecurity and privacy-related statutory, regulatory and contractual obligations.","",faa6919f201c4bd4bfec3bc337f1e381,ID.GV-3
15,87973542443444568a4dcccbbf5b5dda,faa6919f201c4bd4bfec3bc337f1e381,ID,"",Governance,ID.GV,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.","","Governance and risk management processes address cybersecurity risks","Describe in detail how your organization maintains a documented program to govern cybersecurity and privacy risks.","",faa6919f201c4bd4bfec3bc337f1e381,ID.GV-4
16,ea555b364c6b4fffbef24ab20835e12d,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Risk Assessment",ID.RA,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Asset vulnerabilities are identified and documented","Describe in detail how your organization routinely scans assets to identify new and existing vulnerabilities.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RA-1
17,48f1bcd486b644939fcfea343fdc5398,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Risk Assessment",ID.RA,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Cyber threat intelligence is received from information sharing forums and sources","Describe in detail how your organization routinely reviews forums and other information sharing facilities for new vulnerabilities.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RA-2
18,81f7ba01fd4441f6884784b7d114edc8,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Risk Assessment",ID.RA,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Threats, both internal and external, are identified and documented","Describe in detail how your organization identifies threats, both internal and external, to its information and assets.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RA-3
19,5d790b30358c46ae955af52fa7c65340,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Risk Assessment",ID.RA,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Potential business impacts and likelihoods are identified","Describe in detail how your organization documents the business impact of threats and documents the likelihood of exploit of weaknesses identified in their information systems and assets.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RA-4
20,71ed600a3ec843fb8c2a8bf4b3d24ecc,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Risk Assessment",ID.RA,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Threats, vulnerabilities, likelihoods, and impacts are used to determine risk","Describe in detail how your organization uses those threats, vulnerabilities, likelihoods and impacts to determine risks to their information systems and assets.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RA-5
21,c22f3371ff3b4d06aebb775296b5bf04,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Risk Assessment",ID.RA,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Risk responses are identified and prioritized","Describe in detail how your organization maintains a repository of Corrective Action Plans to record and track mitigations to the risks to their information systems and assets.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RA-6
22,1cc9672a0e9149308179eeefaf211712,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Risk Management Strategy",ID.RM,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Risk management processes are established, managed, and agreed to by organizational stakeholders","Describe in detail how your organization establishes and manages risk management processes to accept or mitigate risks to their information systems and assets.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RM-1
23,c0792374fd364561ace1bcf9c5c10c54,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Risk Management Strategy",ID.RM,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","Organizational risk tolerance is determined and clearly expressed","Describe in detail how your organization establishes and communicates to key stakeholders the risk tolerance of the organization and uses that risk tolerance to drive risk management processes.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RM-2
24,489bbd66b796405b991f5df13d5c8e26,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Risk Management Strategy",ID.RM,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","","The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis","Describe in detail how your organization establishes its risk tolerance.","",faa6919f201c4bd4bfec3bc337f1e381,ID.RM-3
25,270bd9cd276d4fa2a3b89cd1f52ea875,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Supply Chain Risk Management",ID.SC,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.","","Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders","Describe in detail how your organization has brought in organizational stakeholders to agree on Supply Chain Risk Management processes.","",faa6919f201c4bd4bfec3bc337f1e381,ID.SC-1
26,c1f94d9e6757471eb8eb807aa10e60d3,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Supply Chain Risk Management",ID.SC,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.","","Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process ","Describe in detail how your organization has identified suppliers and third party vendors, assessed them using cyber supply chain risk assessment process.","",faa6919f201c4bd4bfec3bc337f1e381,ID.SC-2
27,43a74d774068449ca145b6471ff982ec,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Supply Chain Risk Management",ID.SC,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.","","Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan.","Describe in detail the cyber security clauses that have been incorporated in your contracts with suppliers and third party partners. Provide example contracts.","",faa6919f201c4bd4bfec3bc337f1e381,ID.SC-3
28,1bb9c51820c84ede966a0a0fbf32c07c,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Supply Chain Risk Management",ID.SC,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.","","Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations.","Describe in detail how your organization routinely assesses compliance with contractual requirements.","",faa6919f201c4bd4bfec3bc337f1e381,ID.SC-4
29,6cfc1ab1402b41de9fdfe2d192441c33,faa6919f201c4bd4bfec3bc337f1e381,ID,"","Supply Chain Risk Management",ID.SC,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.","","Response and recovery planning and testing are conducted with suppliers and third-party providers","Describe in detail how your organization incorporates suppliers and third-party providers in your response and recovery planning and testing.","",faa6919f201c4bd4bfec3bc337f1e381,ID.SC-5
30,5be0e319d7a44592bfb364469832e2cf,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Identity Management, Authentication and Access Control",PR.AC,"Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","","Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes","Describe in detail how your organization has robust processes for managing user credentials through their lifecycle and managing the authorization of devices to access their networks and information.","",faa6919f201c4bd4bfec3bc337f1e381,PR.AC-1
31,0634d46f32354099a349912b23967216,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Identity Management, Authentication and Access Control",PR.AC,"Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","","Physical access to assets is managed and protected","Describe in detail how your organization has robust processes for managing access to their physical environments.","",faa6919f201c4bd4bfec3bc337f1e381,PR.AC-2
32,ea1a8e0a75734c46ba859fd354b262a0,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Identity Management, Authentication and Access Control",PR.AC,"Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","","Remote access is managed","Describe in detail how your organization has robust processes for managing remote access to their network for employees and contractors.","",faa6919f201c4bd4bfec3bc337f1e381,PR.AC-3
33,9538f12d9ff54c1bb3a4cb8b722530d0,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Identity Management, Authentication and Access Control",PR.AC,"Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","","Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties","Describe in detail how your organization has robust processes for managing permissions in their corporate network, applications and other information systems.","",faa6919f201c4bd4bfec3bc337f1e381,PR.AC-4
34,6f2ba5007fb14fb79052f7c505becf2e,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Identity Management, Authentication and Access Control",PR.AC,"Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","","Network integrity is protected (e.g., network segregation, network segmentation)","Describe in detail how your organization has robust processes for managing network traffic throughout their corporate network, to their applications and other information systems. Is your network segmented or segregated? Is the segmentation physical or virtual?","",faa6919f201c4bd4bfec3bc337f1e381,PR.AC-5
